Week,TotalPopulation,TotalArea
2023-01-03,0,0
2023-01-10,0,0
2023-01-17,"26,442","1,013"
2023-01-24,"26,442","1,013"
2023-01-31,"26,442","1,013"
2023-02-07,"26,442","1,013"
2023-02-14,"26,359","1,012"
2023-02-21,"25,320",959
2023-02-28,"4,073,864","26,422"
2023-03-07,"5,893,502","42,451"
2023-03-14,"19,918,744","70,631"
2023-03-21,"27,408,750","76,724"
2023-03-28,"30,917,730","87,517"
2023-04-04,"30,932,396","88,827"
2023-04-11,"32,435,330","103,850"
2023-04-18,"32,435,330","103,850"
2023-04-25,"32,881,481","107,598"
2023-05-02,"32,881,481","107,598"
2023-05-09,"32,880,500","107,574"
2023-05-16,"32,880,500","107,574"
2023-05-23,"32,976,480","112,067"
2023-05-30,"32,977,238","112,100"
2023-06-06,"32,977,133","112,090"
2023-06-13,"32,986,720","114,375"
2023-06-20,"32,986,720","114,375"
2023-06-27,"32,966,971","113,675"
2023-07-04,"32,967,231","113,788"
2023-07-11,"32,954,125","113,790"