Month,TotalPopulation,TotalArea
01,0,0
01,0,0
01,"26442","1,013"
01,"26442","1,013"
01,"26442","1,013"
02,"26442","1,013"
02,"26359","1,012"
02,"25320",959
02,"4073864","26,422"
03,"5893502","42,451"
03,"19918744","70,631"
04,"32881481","107,598"
05,"32881481","107,598"
05,"32880500","107,574"
05,"32880500","107,574"
05,"32976480","112,067"
05,"32977238","112,100"
06,"32977133","112,090"
06,"32986720","114,375"
06,"32986720","114,375"
06,"32966971","113,675"
06,"32967231","113,788"
07,"32954125","113,790"